Designator,Mid X,Mid Y,Rotation,Layer
_2,149.479,-51.1302,0.0,top
,131.318,-51.1302,0.0,top
J1,91.2876,-44.7628,270.0,top
J10,98.7806,-50.0888,270.0,top
J2,111.2876,-44.7628,270.0,top
J3,99.5,-54.5,270.0,top
J4,109.5,-54.5,270.0,top
J5,168.91,-44.7628,270.0,top
J6,188.91,-44.7628,270.0,top
J7,171.0,-54.5,270.0,top
J8,181.0,-54.5,270.0,top
J9,181.8028,-50.1142,90.0,top
