Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"J1, J2, J3, J4, J5, J6, J7, J8",led_pads,8,Conn_01x03_Pin,
"J10, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
