Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J5, J6",led_pads,4,Conn_01x03_Pin,
"J10, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
