Designator,Mid X,Mid Y,Rotation,Layer
J1,96.4412,-54.1782,270.0,top
J10,96.9264,-60.2742,270.0,top
J2,126.4412,-54.1782,270.0,top
J5,158.9278,-54.1796,270.0,top
J6,188.9278,-54.1796,270.0,top
J9,188.4068,-60.2488,90.0,top
