Designator,Mid X,Mid Y,Rotation,Layer
J1,241.27,-72.0,90.0,top
J2,200.152,-62.0014,0.0,top
J3,226.67,-71.6772,90.0,top
J4,233.177,-38.0,270.0,top
J5,251.27,-38.0,90.0,top
J6,220.2704,-71.6772,90.0,top
J7,201.2442,-43.7134,0.0,top
U1,237.0578,-54.898,90.0,top
